name,path,caption
self_portrait_42,/art/self_portrait/42.png,"Self Portrait? (2024), ATH, Experimental Abstracted Portraiture, a series created using p5.js, capturing still shots from live webcam footage."
self_portrait_43,/art/self_portrait/43.png,"Self Portrait? Feat. Beau, (2024), ATH, Experimental Abstracted Portraiture, a series created using p5.js, capturing still shots from live webcam footage."
DM_V1_001,/art/The_Drawing_Machine/Version_1/001.png,"The Drawing Machine, Version 1 , 001, ATH, 2024."
DM_V1_002,/art/The_Drawing_Machine/Version_1/002.png,"The Drawing Machine, Version 1 , 002, ATH, 2024."
DM_V1_003,/art/The_Drawing_Machine/Version_1/003.png,"The Drawing Machine, Version 1 , 003, ATH, 2024."
DM_V1_004,/art/The_Drawing_Machine/Version_1/004.png,"The Drawing Machine, Version 1 , 004, ATH, 2024."
DM_V1_005,/art/The_Drawing_Machine/Version_1/005.png,"The Drawing Machine, Version 1 , 005, ATH, 2024."
DM_V1_006,/art/The_Drawing_Machine/Version_1/006.png,"The Drawing Machine, Version 1 , 006, ATH, 2024."
DM_V1_007,/art/The_Drawing_Machine/Version_1/007.png,"The Drawing Machine, Version 1 , 007, ATH, 2024."
DM_V1_008,/art/The_Drawing_Machine/Version_1/008.png,"The Drawing Machine, Version 1 , 008, ATH, 2024."
DM_V1_009,/art/The_Drawing_Machine/Version_1/009.png,"The Drawing Machine, Version 1 , 009, ATH, 2024."
DM_V1_010,/art/The_Drawing_Machine/Version_1/010.png,"The Drawing Machine, Version 1 , 010, ATH, 2024."
DM_V1_011,/art/The_Drawing_Machine/Version_1/011.png,"The Drawing Machine, Version 1 , 011, ATH, 2024."
DM_V1_012,/art/The_Drawing_Machine/Version_1/012.png,"The Drawing Machine, Version 1 , 012, ATH, 2024."
DM_V1_013,/art/The_Drawing_Machine/Version_1/013.png,"The Drawing Machine, Version 1 , 013, ATH, 2024."
DM_V1_014,/art/The_Drawing_Machine/Version_1/014.png,"The Drawing Machine, Version 1 , 014, ATH, 2024."
DM_V1_015,/art/The_Drawing_Machine/Version_1/015.png,"The Drawing Machine, Version 1 , 015, ATH, 2024."
DM_V1_016,/art/The_Drawing_Machine/Version_1/016.png,"The Drawing Machine, Version 1 , 016, ATH, 2024."
DM_V1_017,/art/The_Drawing_Machine/Version_1/017.png,"The Drawing Machine, Version 1 , 017, ATH, 2024."
DM_V1_018,/art/The_Drawing_Machine/Version_1/018.png,"The Drawing Machine, Version 1 , 018, ATH, 2024."
DM_V1_019,/art/The_Drawing_Machine/Version_1/019.png,"The Drawing Machine, Version 1 , 019, ATH, 2024."
DM_V1_020,/art/The_Drawing_Machine/Version_1/020.png,"The Drawing Machine, Version 1 , 020, ATH, 2024."
DM_V1_021,/art/The_Drawing_Machine/Version_1/021.png,"The Drawing Machine, Version 1 , 021, ATH, 2024."
DM_V1_022,/art/The_Drawing_Machine/Version_1/022.png,"The Drawing Machine, Version 1 , 022, ATH, 2024."
DM_V1_023,/art/The_Drawing_Machine/Version_1/023.png,"The Drawing Machine, Version 1 , 023, ATH, 2024."
DM_V1_024,/art/The_Drawing_Machine/Version_1/024.png,"The Drawing Machine, Version 1 , 024, ATH, 2024."
DM_V1_025,/art/The_Drawing_Machine/Version_1/025.png,"The Drawing Machine, Version 1 , 025, ATH, 2024."
DM_V1_026,/art/The_Drawing_Machine/Version_1/026.png,"The Drawing Machine, Version 1 , 026, ATH, 2024."
DM_V1_027,/art/The_Drawing_Machine/Version_1/027.png,"The Drawing Machine, Version 1 , 027, ATH, 2024."
DM_V1_028,/art/The_Drawing_Machine/Version_1/028.png,"The Drawing Machine, Version 1 , 028, ATH, 2024."
DM_V1_029,/art/The_Drawing_Machine/Version_1/029.png,"The Drawing Machine, Version 1 , 029, ATH, 2024."
DM_V1_030,/art/The_Drawing_Machine/Version_1/030.png,"The Drawing Machine, Version 1 , 030, ATH, 2024."
DM_V1_031,/art/The_Drawing_Machine/Version_1/031.png,"The Drawing Machine, Version 1 , 031, ATH, 2024."
DM_V1_032,/art/The_Drawing_Machine/Version_1/032.png,"The Drawing Machine, Version 1 , 032, ATH, 2024."
DM_V1_033,/art/The_Drawing_Machine/Version_1/033.png,"The Drawing Machine, Version 1 , 033, ATH, 2024."
DM_V1_034,/art/The_Drawing_Machine/Version_1/034.png,"The Drawing Machine, Version 1 , 034, ATH, 2024."
DM_V1_035,/art/The_Drawing_Machine/Version_1/035.png,"The Drawing Machine, Version 1 , 035, ATH, 2024."
DM_V1_036,/art/The_Drawing_Machine/Version_1/036.png,"The Drawing Machine, Version 1 , 036, ATH, 2024."
DM_V1_037,/art/The_Drawing_Machine/Version_1/037.png,"The Drawing Machine, Version 1 , 037, ATH, 2024."
DM_V1_038,/art/The_Drawing_Machine/Version_1/038.png,"The Drawing Machine, Version 1 , 038, ATH, 2024."
DM_V1_039,/art/The_Drawing_Machine/Version_1/039.png,"The Drawing Machine, Version 1 , 039, ATH, 2024."
DM_V1_040,/art/The_Drawing_Machine/Version_1/040.png,"The Drawing Machine, Version 1 , 040, ATH, 2024."
DM_V1_041,/art/The_Drawing_Machine/Version_1/041.png,"The Drawing Machine, Version 1 , 041, ATH, 2024."
DM_V1_042,/art/The_Drawing_Machine/Version_1/042.png,"The Drawing Machine, Version 1 , 042, ATH, 2024."
DM_V1_043,/art/The_Drawing_Machine/Version_1/043.png,"The Drawing Machine, Version 1 , 043, ATH, 2024."
DM_V1_044,/art/The_Drawing_Machine/Version_1/044.png,"The Drawing Machine, Version 1 , 044, ATH, 2024."
DM_V1_045,/art/The_Drawing_Machine/Version_1/045.png,"The Drawing Machine, Version 1 , 045, ATH, 2024."
DM_V1_046,/art/The_Drawing_Machine/Version_1/046.png,"The Drawing Machine, Version 1 , 046, ATH, 2024."
DM_V1_047,/art/The_Drawing_Machine/Version_1/047.png,"The Drawing Machine, Version 1 , 047, ATH, 2024."
DM_V1_048,/art/The_Drawing_Machine/Version_1/048.png,"The Drawing Machine, Version 1 , 048, ATH, 2024."
DM_V1_049,/art/The_Drawing_Machine/Version_1/049.png,"The Drawing Machine, Version 1 , 049, ATH, 2024."
DM_V1_050,/art/The_Drawing_Machine/Version_1/050.png,"The Drawing Machine, Version 1 , 050, ATH, 2024."
DM_V1_051,/art/The_Drawing_Machine/Version_1/051.png,"The Drawing Machine, Version 1 , 051, ATH, 2024."
DM_V1_052,/art/The_Drawing_Machine/Version_1/052.png,"The Drawing Machine, Version 1 , 052, ATH, 2024."
DM_V1_053,/art/The_Drawing_Machine/Version_1/053.png,"The Drawing Machine, Version 1 , 053, ATH, 2024."
